Codigo;Nome;Numero;;;;;;
Q5;40 MILE AIR;54;;;;;;
7L;A B AIRLINES;?;;;;;;
M3;ABSA AEROLINEAS BRASILEIRAS;?;;;;;;
GB;ABX AIR;?;;;;;;
9B;ACCESREIL;?;;;;;;
ZY;ADA AIR;?;;;;;;
JP;ADRIA AIRWAYS;169;;;;;;
ADO;ADV OPERADORA;889;;;;;;
ADV;ADVANCE PARA NOTA FISCAL;888;;;;;;
A3;AEGEAN AIRLINES;169;;;;;;
RE;AER ARANN;169;;;;;;
EI;AER LINGUS;169;;;;;;
E4;AERO ASIA;?;;;;;;
JR;AERO CALIFORNIA;?;;;;;;
N6;AERO CONTINENTE;?;;;;;;
ML;AERO COSTA RICA;?;;;;;;
P4;AERO LINEAS SOSA;?;;;;;;
YP;AERO LLOYD;?;;;;;;
M0;AERO MONGOLIA;169;;;;;;
WV;Aero Vip;169;;;;;;
QA;AEROCARIBE;?;;;;;;
2B;AEROCONDOR;?;;;;;;
SX;AEROEJECUTIVO;169;;;;;;
SU;AEROFLOT-RUSSIAN INTERNATIONAL AIRLINE;555;;;;;;
2K;AEROGAL AEROLINEAS GALAPAGOS;169;;;;;;
FP;AEROLEASING;169;;;;;;
AR;AEROLINEAS ARGENTINAS;44;;;;;;
N2;AEROLINEAS INTERNACIONALES;?;;;;;;
EX;AEROLINEAS SANTO DOMINGO;?;;;;;;
A8;Aerolink Uganda;169;;;;;;
5D;AEROLITORAL;642;;;;;;
BQ;AEROMAR;?;;;;;;
VW;AEROMAR AIRLINES;169;;;;;;
AM;AEROMEXICO;139;;;;;;
QO;AEROMEXPRESS;?;;;;;;
XX;AERONAVES DEL PERU S.A.;?;;;;;;
WL;AEROPERLAS;?;;;;;;
PL;AEROPERU;?;;;;;;
VH;AEROPOSTAL;152;;;;;;
P5;AEROREPUBLICA;?;;;;;;
6N;AEROSUCRE;?;;;;;;
5L;AEROSUR;275;;;;;;
VV;AEROSWEET;169;;;;;;
V5;AEROVIAS DAP;169;;;;;;
AW;Africa World Airlines;169;;;;;;
OY;AFRICAN INTERCONTINENTAL AIRWAYS;?;;;;;;
8U;AFRIQIYAH AIRWAYS;169;;;;;;
ZI;AIGLE AZUR;?;;;;;;
DP;AIR 2000;?;;;;;;
RK;AIR AFRIQUE;?;;;;;;
H7;AIR ALFA HAVAYOLLARI;?;;;;;;
AH;AIR ALGERIE;169;;;;;;
4L;AIR ALMA INC.;?;;;;;;
3S;Air Antilles;169;;;;;;
FQ;AIR ARUBA;?;;;;;;
KC;AIR ASTANA;169;;;;;;
LU;AIR ATLANTIC DOMINICANA;?;;;;;;
9A;AIR ATLANTIC LTD.;?;;;;;;
KI;AIR ATLANTIQUE;?;;;;;;
UU;AIR AUSTRAL;169;;;;;;
W9;Air Bagan;169;;;;;;
BT;AIR BALTIC;169;;;;;;
AJ;AIR BELGIUM INTERNATIONAL;?;;;;;;
AB;AIR BERLIN;745;;;;;;
KR;Air Bishkek;169;;;;;;
JA;AIR BOSNA;169;;;;;;
KF;AIR BOTNIA;?;;;;;;
BP;AIR BOTSWANA;169;;;;;;
2J;AIR BURKINA;169;;;;;;
PB;AIR BURUNDI;?;;;;;;
TY;AIR CALEDONIE;?;;;;;;
AC;AIR CANADA;14;;;;;;
TX;AIR CARAIBES EXPLOITATION;427;;;;;;
XC;AIR CARIBBEAN;?;;;;;;
C2;AIR CARIBBEAN LTD.;?;;;;;;
CV;AIR CHATHAMS;?;;;;;;
CA;AIR CHINA;999;;;;;;
3E;Air Choice One;169;;;;;;
E6;AIR COMPANY ELF-AIR;?;;;;;;
XK;Air Corsica;169;;;;;;
HF;Air Côte d'Ivoire;169;;;;;;
YN;AIR CREEBEC INC.;?;;;;;;
UX;AIR EUROPA;996;;;;;;
XT;AIR EXEL NETHERLANDS;?;;;;;;
XV;AIR EXPRESS;?;;;;;;
GS;AIR FOYLE;?;;;;;;
AF;AIR FRANCE;57;;;;;;
GN;AIR GABON;?;;;;;;
DA;AIR GEORGIA;?;;;;;;
JG;AIR GREECE;?;;;;;;
GI;AIR GUINEE;?;;;;;;
LD;AIR HONG KONG;?;;;;;;
NY;AIR ICELAND;?;;;;;;
AI;AIR INDIA;98;;;;;;
3H;AIR INUIT;?;;;;;;
I9;AIR ITALY;67;;;;;;
VU;AIR IVOIRE;84;;;;;;
JQ;AIR JAMAICA EXPRESS;169;;;;;;
JM;AIR JAMAICA LIMITED;169;;;;;;
2Y;AIR KAZAKSTAN;?;;;;;;
9Y;AIR KAZAKSTAN;?;;;;;;
9R;AIR KILROE;?;;;;;;
CD;AIR KOREA;?;;;;;;
JS;AIR KORYO;?;;;;;;
QH;Air Kyrgyzstan;169;;;;;;
VD;AIR LIBERTE;?;;;;;;
DR;AIR LINK;?;;;;;;
TT;AIR LITHUANIA;?;;;;;;
FU;AIR LITTORAL;?;;;;;;
NX;AIR MACAU;169;;;;;;
MD;AIR MADAGASCAR;169;;;;;;
MM;AIR MADEIRA;?;;;;;;
NM;AIR MADRID;?;;;;;;
QM;AIR MALAWI;169;;;;;;
L6;AIR MALDIVES;169;;;;;;
L9;AIR MALI;?;;;;;;
KM;AIR MALTA;169;;;;;;
6T;AIR MANDALAY;?;;;;;;
7N;AIR MANITOBA;169;;;;;;
CW;AIR MARSHALL ISLANDS;?;;;;;;
PN;AIR MARTINIQUE;?;;;;;;
MK;AIR MAURITIUS;169;;;;;;
ZV;AIR MIDWEST;?;;;;;;
AMG;AIR MINAS;333;;;;;;
6M;AIR MINAS;333;;;;;;
9U;AIR MOLDOVA;169;;;;;;
3R;AIR MOLDOVA INTERNATIONAL;?;;;;;;
7D;AIR MOLOKAI;169;;;;;;
QE;AIR MOOREA;?;;;;;;
SW;AIR NAMIBIA;186;;;;;;
SW;AIR NAMIBIA;169;;;;;;
NZ;AIR NEW ZEALAND;86;;;;;;
PX;AIR NIUGINI;169;;;;;;
4N;AIR NORTH;?;;;;;;
YW;AIR NOSTRUM;?;;;;;;
QK;AIR NOVA;?;;;;;;
YH;AIR NUNAVIT;?;;;;;;
AP;AIR ONE;169;;;;;;
GX;AIR ONTARIO;?;;;;;;
8K;AIR OSTRAVA;?;;;;;;
2P;AIR PHILIPPINES;?;;;;;;
GZ;AIR RAROTONGA;?;;;;;;
RY;AIR RWANDA;?;;;;;;
JU;Air Serbia;169;;;;;;
HM;AIR SEYCHELLES;169;;;;;;
4D;AIR SINAI;?;;;;;;
GM;AIR SLOVAKIA;?;;;;;;
CT;AIR SOFIA;?;;;;;;
8H;AIR SOUTH WEST;?;;;;;;
PJ;AIR ST. PIERRE;?;;;;;;
ZP;AIR ST. THOMAS;?;;;;;;
GO;AIR STORD;?;;;;;;
IU;AIR STRAUBING;?;;;;;;
YI;AIR SUNSHINE;?;;;;;;
VT;AIR TAHITI;169;;;;;;
TN;AIR TAHITI NUI;169;;;;;;
TC;AIR TANZANIA CORPORATION;169;;;;;;
HT;AIR TCHAD;?;;;;;;
6C;Air Timor;169;;;;;;
8T;AIR TINDI;?;;;;;;
SH;AIR TOULOUSE;?;;;;;;
TS;AIR TRANSAT;649;;;;;;
8C;AIR TRANSPORT INTERNATIONAL;?;;;;;;
U7;AIR UGANDA;169;;;;;;
6U;AIR UKRAINE;?;;;;;;
3N;AIR URGA;?;;;;;;
DO;AIR VALLEE;?;;;;;;
NF;AIR VANUATU;169;;;;;;
6V;AIR VEGAS;?;;;;;;
ZW;AIR WISCONSI;?;;;;;;
QC;AIR ZAIRE;?;;;;;;
UM;AIR ZIMBABWE;169;;;;;;
4F;AIR-CITY;?;;;;;;
AK;AIRASIA;900;;;;;;
ZX;AIRBC LTD.;?;;;;;;
ZF;AIRBORNE OF SWEDEN;?;;;;;;
SB;AIRCALIN;169;;;;;;
4C;AIRES;?;;;;;;
D4;AIRES DEL SUR;?;;;;;;
P2;Airkenya;169;;;;;;
QP;AIRKENYA AVIATION;?;;;;;;
C4;AIRLINES OF CARRIACOU;?;;;;;;
IP;AIRLINES OF TASMANIA;?;;;;;;
ND;AIRLINK;?;;;;;;
5T;AIRLINK AIRLINES;?;;;;;;
ID;AIRMAX;?;;;;;;
A7;AIRPLUS COMET;169;;;;;;
9G;AIRPORT EXPRESS SERVICES;169;;;;;;
5S;AIRSPEED AVIATION INC.;?;;;;;;
VZ;AIRTOURS INTENATIONAL AVIATION;?;;;;;;
FL;AIRTRAN AIRWAYS;332;;;;;;
E9;AJT AIR INTERNATIONAL;?;;;;;;
6L;AKLAK AIR;?;;;;;;
AS;ALASKA;169;;;;;;
AS;ALASKA AIRLINES;27;;;;;;
KO;ALASKA CENTRAL EXPRESS;?;;;;;;
6D;ALASKA ISLAND AIR INC.;?;;;;;;
J5;Alaska Seaplanes;169;;;;;;
7Y;ALBANIAN AIRLINES;?;;;;;;
LV;ALBANIAN AIRLINES;?;;;;;;
8Z;ALBATROS HAVACILK;?;;;;;;
AZ;ALITALIA;55;;;;;;
